epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/ball,val/AP/goalkeeper,val/AP/player,val/AP/referee,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,
0,71,,,,,,,,,,,,,,,,,,,,,,,,,,0.13058733940124512,0.33613070845603943,0.5030050277709961,0.39205116033554077,0.6879982352256775,0.675908088684082,0.3398265838623047,0.5073057413101196,6.266512870788574,0.6768197417259216,0.34044355154037476,0.2983788549900055,0.5056582093238831,0.7689397931098938,0.64005446434021
0,71,3855.932373046875,3829.9990234375,3863.501708984375,3846.6650390625,3879.45654296875,28.56211280822754,7.495556354522705,0.01554433535784483,0.016217056661844254,0.015817901119589806,0.015507772564888,0.01767488196492195,0.8139366507530212,0.9145446419715881,0.8451284766197205,0.8279715180397034,0.9365676045417786,0.2721956670284271,0.2731042504310608,0.27258554100990295,0.2718082070350647,0.28710508346557617,,,,,,,,,,,,,,,,,,
1,99,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,
1,143,,,,,,,,,,,,,,,,,,,,,,,,,,0.14371642470359802,0.47104108333587646,0.5488593578338623,0.44978398084640503,0.7659235596656799,0.7576626539230347,0.40391817688941956,0.5155486464500427,5.771576404571533,0.7549387216567993,0.40335020422935486,0.3924731910228729,0.5132768154144287,0.8086363077163696,0.7437627911567688
1,143,3885.72314453125,3883.80810546875,3884.37060546875,3883.78564453125,3885.0166015625,1.4419492483139038,5.932770252227783,0.013340042904019356,0.014200245030224323,0.013913684524595737,0.01349849347025156,0.01563902571797371,0.5739153623580933,0.6206712126731873,0.5818566083908081,0.5771899223327637,0.6028463840484619,0.2571702003479004,0.2619341015815735,0.2600650191307068,0.25789210200309753,0.2746049165725708,,,,,,,,,,,,,,,,,,
2,149,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,
2,199,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,
2,215,,,,,,,,,,,,,,,,,,,,,,,,,,0.1298714578151703,0.48500847816467285,0.5184794068336487,0.4122981131076813,0.7858979105949402,0.7813119888305664,0.409695565700531,0.5152334570884705,5.920438289642334,0.7698496580123901,0.3864143490791321,0.35729217529296875,0.49589866399765015,0.820606529712677,0.7692804932594299
2,215,3885.83251953125,3884.881103515625,3884.77783203125,3884.677001953125,3885.478271484375,0.8619588017463684,5.764626502990723,0.013103721663355827,0.013801642693579197,0.013523826375603676,0.013234774582087994,0.014939417131245136,0.5543197989463806,0.5962320566177368,0.5621324181556702,0.5589557886123657,0.5792405605316162,0.25248801708221436,0.2569596469402313,0.255543977022171,0.25336241722106934,0.26701104640960693,,,,,,,,,,,,,,,,,,
